slice,channel,source_page,source_url,local_path,length,sha256
223,Ti,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ti,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ti/resource/c39dfe96-ad8a-4f75-aef4-92b55072b43b/download/ebsd-sliceimage-223_0_tik.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_tik.dat,1049724,2F571AF8A3FEA4836B34355F7EF1D28F84584BDFCFF87BF65F7B0A81B1831A11
223,W,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_w,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_w/resource/862fefdd-5de7-4c98-b4b7-369af658520f/download/ebsd-sliceimage-223_0_wl.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_wl.dat,1049724,13A3D265C5EA9BA6F8C6837EBDBAE4F680A1A8862E551A2E11ACE021851F0E6E
224,Al,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_al,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_al/resource/d3f10dc1-0b64-4170-bf52-16bb8a20e791/download/ebsd-sliceimage-224_0_alk.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_alk.dat,1049724,6A4FA0EFF0E5244801197E1103D5E03D5043CACEC35A48E2E5BC902FA69F8216
224,CPS,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_all_elements,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_all-elements/resource/46e39398-fc34-4dd7-9c8a-d1bb460cb82b/download/ebsd-sliceimage-224_0_cps.dat,data/alloy617_nrds/all_elements/slice_224/ebsd-sliceimage-224_0_cps.dat,2099384,5E4D0C15BA723F025057B91033689B3A24374AD2CB82E4DF9ABD476D428DB7DF
224,Cl,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cl,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cl/resource/26105afb-6163-455d-a974-ff0d3e72f875/download/ebsd-sliceimage-224_0_clk.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_clk.dat,1049724,DC815D6984DFC8D777C05E3A534F9104B57A8C2D366C07C98EB7B976FCABEADC
224,Co,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_co,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_co/resource/629ae3aa-8cdd-4484-b8dc-acfd4918d3f4/download/ebsd-sliceimage-224_0_cok.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_cok.dat,1049724,976C487CFA0B4919F01AAE6670A13E83A50F435CC42312EF28A47B973213D66C
224,Cr,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cr,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cr/resource/d5fbf0ee-c316-485c-8449-ece3f7880c11/download/ebsd-sliceimage-224_0_crk.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_crk.dat,1049724,9434F5C2A094455BA2D6C447CD088CC5A60B1766F1FD5BA6D6E8FDAF262FE836
224,F,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_f,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_f/resource/815e4767-ed75-44fa-b487-37db8347834b/download/ebsd-sliceimage-224_0_fk.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_fk.dat,1049724,E5655E07A7BC60DA6F2F133813E09D5070B58BF9666EA82858844A6205FB3001
224,Fe,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_fe,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_fe/resource/7687cc8e-0a11-4c06-a443-2a23ae61b786/download/ebsd-sliceimage-224_0_fek.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_fek.dat,1049724,2E0A8887764D804823D6D8DEF0449964A24CC161A6348A1EF3600FB733CBD11E
224,Mg,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mg,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mg/resource/77281870-141d-4fa0-a7bd-71249f0290e3/download/ebsd-sliceimage-224_0_mgk.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_mgk.dat,1049724,9DD967464EE9529ED1D3C8649A6CB5A068F4688AC7864628839F27C6966A09EB
