fold,slice,policy,trailing_median_composite,trailing_std_composite,final_composite,iterations_in_window,trailing_median_delta_vs_uncertainty
fold_1,053,gated_veer_4x4_mean_kappa5,0.0467745620471054,0.022999398949601742,0.0,6,-0.016695245671715646
fold_1,053,nested_band_veer_4x4_mean_kappa2,0.03418657555308975,0.011970450213316535,0.0473098602892778,6,-0.029283232165731296
fold_1,053,nested_veer_4x4_mean_kappa0,0.1001505574067261,0.0839372005563225,0.180132335583619,6,0.03668074968790505
fold_1,053,uncertainty_lookahead,0.06346980771882105,0.042688727597832314,0.1056252410239994,6,0.0
fold_1,053,variogram_eer_4x4_mean_kappa5,0.0299866436821556,0.0019084112553574954,0.0314758462905193,6,-0.033483164036665444
fold_2,054,gated_veer_4x4_mean_kappa10,0.24476980427780326,0.1121314187725238,0.24612297032091,6,0.012507175161282746
fold_2,054,gated_veer_4x4_mean_kappa5,0.24027773836073954,0.0010820135348523414,0.2404666741647055,6,0.008015109244219026
fold_2,054,nested_band_veer_4x4_mean_kappa2,0.24114722646920617,0.012957131128168459,0.2284828670738087,6,0.008884597352685653
fold_2,054,nested_veer_4x4_mean_kappa0,0.23950112237900975,0.0005950146734317616,0.2403770579250189,6,0.007238493262489237
fold_2,054,uncertainty_lookahead,0.2322626291165205,0.004040411633287514,0.23232051050227,6,0.0
fold_2,054,variogram_eer_4x4_mean_kappa5,0.24025337225785598,0.11378200734060971,0.2403840834758595,6,0.007990743141335466
fold_2,064,gated_veer_4x4_mean_kappa10,0.05118164729297815,0.026211599407924904,0.0,6,0.010838756112522399
fold_2,064,gated_veer_4x4_mean_kappa5,0.0503781238547292,0.007676565456588522,0.0649495068147661,6,0.010035232674273448
fold_2,064,nested_band_veer_4x4_mean_kappa2,0.03931057667392835,0.05778971775535416,0.1566081692845873,6,-0.0010323145065274028
fold_2,064,nested_veer_4x4_mean_kappa0,0.0345050767804711,0.005450550665575732,0.0425094677394843,6,-0.005837814399984653
fold_2,064,uncertainty_lookahead,0.04034289118045575,0.004777376825016264,0.0404044734992804,6,0.0
fold_2,064,variogram_eer_4x4_mean_kappa5,0.05014130128418735,0.04254353814500396,0.1490128771345928,6,0.0097984101037316
fold_2,075,gated_veer_4x4_mean_kappa10,0.0233589707527219,0.02535432229320582,0.0,6,-0.14140393972083257
fold_2,075,gated_veer_4x4_mean_kappa5,0.04920858966374235,0.018495477459385404,0.0,6,-0.11555432080981211
fold_2,075,nested_band_veer_4x4_mean_kappa2,0.0,0.0,0.0,6,-0.16476291047355446
fold_2,075,nested_veer_4x4_mean_kappa0,0.03585479260041035,0.053943635723310554,0.1517193001998898,6,-0.1289081178731441
fold_2,075,uncertainty_lookahead,0.16476291047355446,0.1751430623435938,0.1634928211001433,6,0.0
fold_2,075,variogram_eer_4x4_mean_kappa5,0.0,0.02473410858848418,0.0,6,-0.16476291047355446
fold_2,085,gated_veer_4x4_mean_kappa10,0.0256821201951765,0.02603038390569821,0.0,6,-0.15188276843328638
