fold,slice,policy,trailing_median_composite,trailing_std_composite,final_composite,iterations_in_window,trailing_median_delta_vs_uncertainty
fold_2,054,variogram_eer_4x4_mean_kappa0,0.2520224819085705,0.02028378450875972,0.2556214952802862,6,0.019759852792050003
fold_2,054,variogram_eer_4x4_mean_kappa2,0.2389785963223221,0.11395535336591928,0.2377762322774037,6,0.006715967205801587
fold_2,054,variogram_eer_4x4_mean_kappa5,0.24025337225785598,0.11378200734060971,0.2403840834758595,6,0.007990743141335466
fold_2,064,nested_veer_4x4_mean_kappa0,0.0345050767804711,0.005450550665575732,0.0425094677394843,6,-0.005837814399984653
fold_2,064,nested_veer_4x4_mean_kappa10,0.14500186341084198,0.05760074832605885,0.1449494668892089,6,0.10465897223038623
fold_2,064,nested_veer_4x4_mean_kappa2,0.03598628397873715,0.00497151413344088,0.0425167287158405,6,-0.0043566072017186055
fold_2,064,nested_veer_4x4_mean_kappa5,0.14500186341084198,0.05760074832605885,0.1449494668892089,6,0.10465897223038623
fold_2,064,uncertainty_lookahead,0.04034289118045575,0.004777376825016264,0.0404044734992804,6,0.0
fold_2,064,variogram_eer_4x4_mean_kappa0,0.02387811576777235,0.05408015469116224,0.1398346137137892,6,-0.016464775412683402
fold_2,064,variogram_eer_4x4_mean_kappa2,0.044860381256954296,0.054424747343367365,0.1593913217057164,6,0.004517490076498543
fold_2,064,variogram_eer_4x4_mean_kappa5,0.05014130128418735,0.04254353814500396,0.1490128771345928,6,0.0097984101037316
fold_2,075,nested_veer_4x4_mean_kappa0,0.03585479260041035,0.053943635723310554,0.1517193001998898,6,-0.1289081178731441
fold_2,075,nested_veer_4x4_mean_kappa10,0.1380723461276302,0.012390498223438844,0.1602817869604942,6,-0.02669056434592426
fold_2,075,nested_veer_4x4_mean_kappa2,0.0,0.023900479691684445,0.0,6,-0.16476291047355446
fold_2,075,nested_veer_4x4_mean_kappa5,0.1380723461276302,0.012390498223438844,0.1602817869604942,6,-0.02669056434592426
fold_2,075,uncertainty_lookahead,0.16476291047355446,0.1751430623435938,0.1634928211001433,6,0.0
fold_2,075,variogram_eer_4x4_mean_kappa0,0.050935264187393,0.018918682207764555,0.0,6,-0.11382764628616146
fold_2,075,variogram_eer_4x4_mean_kappa2,0.03046632231444415,0.04335096796156524,0.1459523485728885,6,-0.1342965881591103
fold_2,075,variogram_eer_4x4_mean_kappa5,0.0,0.02473410858848418,0.0,6,-0.16476291047355446
fold_2,085,nested_veer_4x4_mean_kappa0,0.17256623645586985,0.007326691706358653,0.1661283825255793,6,-0.0049986521725930155
fold_2,085,nested_veer_4x4_mean_kappa10,0.47398770112052624,0.3010960784766852,0.1779722485884618,6,0.29642281249206337
fold_2,085,nested_veer_4x4_mean_kappa2,0.16297128584433385,0.0013720318146166095,0.1643831431931937,6,-0.014593602784129023
fold_2,085,nested_veer_4x4_mean_kappa5,0.47398770112052624,0.3010960784766852,0.1779722485884618,6,0.29642281249206337
fold_2,085,uncertainty_lookahead,0.17756488862846287,0.0068901337913246305,0.1661283825255793,6,0.0
fold_2,085,variogram_eer_4x4_mean_kappa0,0.1636545798629893,0.05154896537386812,0.1639997334803668,6,-0.013910308765473556
fold_2,085,variogram_eer_4x4_mean_kappa2,0.02604070968851295,0.031870792092655406,0.0,6,-0.1515241789399499
