fold,slice,policy,trailing_median_composite,trailing_std_composite,final_composite,iterations_in_window,trailing_median_delta_vs_uncertainty
fold_2,061,gated_veer_4x4_mean_kappa5,0.13973267866261208,0.12464364874346565,0.1381541143654114,6,-0.09108733786876871
fold_2,061,uncertainty_lookahead,0.2308200165313808,0.07556617997299775,0.2319873969239845,6,0.0
fold_2,062,gated_veer_4x4_mean_kappa5,0.02231981843459405,0.09921390253458165,0.2311570773827027,6,-0.12403827385929661
fold_2,062,uncertainty_lookahead,0.14635809229389066,0.08886541683085647,0.2267586657756588,6,0.0
fold_2,063,gated_veer_4x4_mean_kappa5,0.05997237016915345,0.011346380862908968,0.0492801338896217,6,0.027193526775587153
fold_2,063,uncertainty_lookahead,0.0327788433935663,0.05804997529027956,0.1576376841932448,6,0.0
fold_2,065,gated_veer_4x4_mean_kappa5,0.0,0.0,0.0,6,-0.0264375476507274
fold_2,065,uncertainty_lookahead,0.0264375476507274,0.006762771294823438,0.0202347582838256,6,0.0
fold_2,066,gated_veer_4x4_mean_kappa5,0.10091798125724265,0.020687585847643117,0.0677025135087759,6,0.012087891288141653
fold_2,066,uncertainty_lookahead,0.088830089969101,0.017684432045993414,0.1357239008162425,6,0.0
fold_2,067,gated_veer_4x4_mean_kappa5,0.073622921057745,0.038449120386254115,0.0,6,-0.08429924965942436
fold_2,067,uncertainty_lookahead,0.15792217071716935,0.0070020423331655845,0.1590256530972693,6,0.0
fold_2,068,gated_veer_4x4_mean_kappa5,0.0,0.01972775697112969,0.0,6,-0.1642665462797733
fold_2,068,uncertainty_lookahead,0.1642665462797733,0.006409971762196203,0.1769407785453253,6,0.0
fold_2,069,gated_veer_4x4_mean_kappa5,0.0,0.0,0.0,6,-0.16697074642722715
fold_2,069,uncertainty_lookahead,0.16697074642722715,0.00786932133080323,0.1765285961611394,6,0.0
fold_2,070,gated_veer_4x4_mean_kappa5,0.0,0.02146709901063779,0.0,6,-0.1393610111158769
fold_2,070,uncertainty_lookahead,0.1393610111158769,0.010847230322557475,0.1528276451859287,6,0.0
fold_2,071,gated_veer_4x4_mean_kappa5,0.06373523962928934,0.013166154279741797,0.0759290362661211,6,-0.24318903252770796
fold_2,071,uncertainty_lookahead,0.3069242721569973,0.14179493075624858,0.1716344973428602,6,0.0
fold_2,072,gated_veer_4x4_mean_kappa5,0.0343426266221849,0.030578220254139726,0.116898487931652,6,-0.026188599810254953
fold_2,072,uncertainty_lookahead,0.060531226432439855,0.017045787869370197,0.032910877723209,6,0.0
fold_2,073,gated_veer_4x4_mean_kappa5,0.03907109751759785,0.010273390175516987,0.0558389847793549,6,-0.10954229998718445
fold_2,073,uncertainty_lookahead,0.1486133975047823,0.05269812443733139,0.1489059225217397,6,0.0
fold_2,074,gated_veer_4x4_mean_kappa5,0.07939842886648216,0.023111129016229182,0.0678387768555989,6,0.05461981666306036
fold_2,074,uncertainty_lookahead,0.0247786122034218,0.005098367244510144,0.0278536869181722,6,0.0
fold_2,076,gated_veer_4x4_mean_kappa5,0.17883506337121113,0.005918337715633297,0.1793275906745622,6,0.011433109277036557
fold_2,076,uncertainty_lookahead,0.16740195409417458,0.10169119352810811,0.1699550342577984,6,0.0
fold_2,077,gated_veer_4x4_mean_kappa5,0.04812117841479385,0.018583032044160733,0.0,6,0.04812117841479385
fold_2,077,uncertainty_lookahead,0.0,0.14439866157707837,0.0,6,0.0
fold_2,078,gated_veer_4x4_mean_kappa5,0.0,0.02982741464717521,0.0,6,-0.3777007081577804
fold_2,078,uncertainty_lookahead,0.3777007081577804,0.17057400405553094,0.1528714686431642,6,0.0
fold_2,079,gated_veer_4x4_mean_kappa5,0.0222373419878871,0.03989746040062636,0.0222427206591811,6,-0.0758514540190366
fold_2,079,uncertainty_lookahead,0.0980887960069237,0.07361409950485379,0.1716978161926062,6,0.0
fold_2,080,gated_veer_4x4_mean_kappa5,0.03025442389724215,0.0004963580810096208,0.0305619493387671,6,-0.1293405732829681
fold_2,080,uncertainty_lookahead,0.15959499718021025,0.0021105355505402403,0.1586903930316548,6,0.0
